id,title,abstract,authors,keywords,organization_affiliated
f3df6a2c03784b618320049e4b9dc34a,Enhanced Corrosion Protection Performance by OrganicInorganic Materials Containing Thiocarbonyl Compounds,"In the present study, the synergistic effect on the corrosion protection properties of Mg alloys subjected to plasma electrolytic oxidation and chemically treated with thiourea as an inhibitor is investigated by surface microstructure analysis, evaluation of the electrochemical performance, and chemical quantum calculations. Physical adsorption of thiourea on the inorganic material surface might be due to physical interaction between thiourea with a low ionization potential serving as an electron donor and the inorganic components with high electron affinities acting as acceptors. The results from potentiodynamic polarization and electrochemical impedance spectroscopy for organicinorganic coating reveal a clear decrease in the corrosion rate owing to the introduced thiourea.",Wail Al Zoubi; Young Gun Ko,Composites; Corrosion,"Materials Electrochemistry Group, School of Materials Science and Engineering, Yeungnam University, Gyeongsan, Republic of Korea; Materials Electrochemistry Group, School of Materials Science and Engineering, Yeungnam University, Gyeongsan, Republic of Korea"
e8ed119da2b54f30a9b672e789c3f7ac,Interaction of Glide Dislocations with Extended Precipitates in MgNd alloys,"The unit processes of precipitatedislocation interaction in dilute MgNd alloys are elucidated through in situ indentation experiments in TEM. Results suggest that pinned dislocations can glide along the broad facets of extended 1 precipitates, a common strengthening phase in Mg rare earth (RE) alloys. A dislocationtheory based analysis suggests that the shape, spacing and orientation (with respect to the glide plane) of 1 precipitates may favor glide of pinned dislocations along interfaces as opposed to the classical mechanism of bowing and looping around the precipitate.",Zhihua Huang; John E. Allison; Amit Misra,Metals and alloys; Theory and computation,"Department of Materials Science and Engineering, University of Michigan, Ann Arbor, United States; Department of Materials Science and Engineering, University of Michigan, Ann Arbor, United States; Department of Materials Science and Engineering, University of Michigan, Ann Arbor, United States"
e6df95cab9af4a68834acc4e816cfb4c,Tapered InP nanowire arrays for efficient broadband highspeed singlephoton detection,"Superconducting nanowire singlephoton detectors with peak efficiencies above 90% and unrivalled timing jitter (30 ps) have emerged as a potent technology for quantum information and sensing applications. However, their high cost and cryogenic operation limit their widespread applicability. Here, we present an approach using tapered InP nanowire pn junction arrays for highefficiency, broadband and highspeed photodetection without the need for cryogenic cooling. The truncated conical nanowire shape enables a broadband, linear photoresponse in the ultraviolet to nearinfrared range (~500 nm bandwidth) with external quantum efficiencies exceeding 85%. The devices exhibit a high gain beyond 105, such that a single photon per pulse can be distinguished from the dark noise, while simultaneously showing a fast pulse rise time (1 ns) and excellent timing jitter (20 ps). Such detectors open up new possibilities for applications in remote sensing, dose monitoring for cancer treatment, threedimensional imaging and quantum communication. Tapered InP nanowire pn junction arrays enable efficient broadband and highspeed roomtemperature photodetection.",Sandra J. Gibson; Brad van Kasteren; Burak Tekcan; Yingchao Cui; Dick van Dam; Jos E. M. Haverkort; Erik P. A. M. Bakkers; Michael E. Reimer,Nanowires; Single photons and quantum effects,"Institute for Quantum Computing and Department of Electrical  Computer Engineering, University of Waterloo, Ontario, Canada; Institute for Quantum Computing and Department of Electrical  Computer Engineering, University of Waterloo, Ontario, Canada; Institute for Quantum Computing and Department of Electrical  Computer Engineering, University of Waterloo, Ontario, Canada; Department of Applied Physics, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Applied Physics, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Applied Physics, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Applied Physics, Eindhoven University of Technology, Eindhoven, The Netherlands; Institute for Quantum Computing and Department of Electrical  Computer Engineering, University of Waterloo, Ontario, Canada"
4e80e0a63398443392f6f39f058bba84,"Mapping global development potential for renewable energy, fossil fuels, mining and agriculture sectors","Mapping suitable land for development is essential to land use planning efforts that aim to model, anticipate, and manage tradeoffs between economic development and the environment. Previous land suitability assessments have generally focused on a few development sectors or lack consistent methodologies, thereby limiting our ability to plan for cumulative development pressures across geographic regions. Here, we generated 1km spatiallyexplicit global land suitability maps, referred to as ""development potential indices"" (DPIs), for 13 sectors related to renewable energy (concentrated solar power, photovoltaic solar, wind, hydropower), fossil fuels (coal, conventional and unconventional oil and gas), mining (metallic, nonmetallic), and agriculture (crop, biofuels expansion). To do so, we applied spatial multicriteria decision analysis techniques that accounted for both resource potential and development feasibility. For each DPI, we examined both uncertainty and sensitivity, and spatially validated the map using locations of planned development. We illustrate how these DPIs can be used to elucidate potential individual sector expansion and cumulative development patterns. 
                
                  
                    
                    
                    
                  
                
               Machineaccessible metadata file describing the reported data (ISATab format)",James R. Oakleaf; Christina M. Kennedy; Sharon BaruchMordo; James S. Gerber; Paul C. West; Justin A. Johnson; Joseph Kiesecker,Environmental impact; Socioeconomic scenarios,"Global Lands Program, The Nature Conservancy, Fort Collins, USA; Global Lands Program, The Nature Conservancy, Fort Collins, USA; Global Lands Program, The Nature Conservancy, Fort Collins, USA; Global Landscapes Initiative, Institute on the Environment, University of Minnesota, St. Paul, USA; Global Landscapes Initiative, Institute on the Environment, University of Minnesota, St. Paul, USA; Natural Capital Project, Institute on the Environment, University of Minnesota, St. Paul, USA; Global Lands Program, The Nature Conservancy, Fort Collins, USA"
ce4f0b2fb73c4d9987192d42d8760de2,Clinical genome sequencing in an unbiased pediatric cohort,"We report for the first time, the use of clinical genome sequencing (GS) in an unbiased pediatric cohort. We describe the clinical validation, patient metrics, ordering patterns, results, reimbursement, and physician retrieval of results for the first consecutive 80 cases. Clinical GS was performed for both inpatients and outpatients undergoing etiologic evaluations. Results were reported in the electronic medical record. Evidence of report retrieval by clinicians and whether interpretation was concordant with laboratory report was obtained through retrospective chart review. Twenty definitive diagnoses were made in 19 patients (24%; n  80). Except for two partial gene deletions, all diagnostic variants would have been detectable by our exome methods. Surprisingly, there was no documentation of communication of results to the family in the medical record for 17.5% of patients, and in 7.5%, physician and laboratory interpretations were discordant. Average insurance reimbursement was 30.2%, with yield for commercial payers significantly higher, at 54.1%. The detection rate of GS is equivalent and potentially superior to exome sequencing (ES). Reimbursement rates were variable but overall satisfactory for commercial insurers, and poor for government entities. In addition, we identify opportunities for improvement in the communication of results to families, likely translatable to other tests and other institutions.",Isabelle Thiffault; Emily Farrow; Lee Zellmer; Courtney Berrios; Neil Miller; Margaret Gibson; Raymond Caylor; Janda Jenkins; Deb Faller; Sarah Soden; Carol Saunders,"Biomedicine, general; Human Genetics; Laboratory Medicine","Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; School of Medicine, University of MissouriKansas City, Kansas City, USA; Department of Pathology and Laboratory Medicine, Children's MercyKansas City, Kansas City, USA; Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; School of Medicine, University of MissouriKansas City, Kansas City, USA; Department of Pediatrics, Children's MercyKansas City, Kansas City, USA; Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; Department of Pathology and Laboratory Medicine, Children's MercyKansas City, Kansas City, USA; Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; School of Medicine, University of MissouriKansas City, Kansas City, USA; Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; Department of Pathology and Laboratory Medicine, Children's MercyKansas City, Kansas City, USA; School of Medicine, University of MissouriKansas City, Kansas City, USA; Department of Pediatrics, Children's MercyKansas City, Kansas City, USA; Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; School of Medicine, University of MissouriKansas City, Kansas City, USA; Department of Pediatrics, Children's MercyKansas City, Kansas City, USA; Center for Pediatric Genomic Medicine Children's MercyKansas City, Kansas City, USA; School of Medicine, University of MissouriKansas City, Kansas City, USA; Department of Pathology and Laboratory Medicine, Children's MercyKansas City, Kansas City, USA"
3603de9cbe02440ca8097e2ff4e6a1d5,Spontaneous oscillation in cell adhesion and stiffness measured using atomic force microscopy,"Atomic force microscopy (AFM) is an attractive technique for studying biomechanical and morphological changes in live cells. Using realtime AFM monitoring of cellular mechanical properties, spontaneous oscillations in cell stiffness and cell adhesion to the extracellular matrix (ECM) have been found. However, the lack of automated analytical approaches to systematically extract oscillatory signals, and noise filtering from a large set of AFM data, is a significant obstacle when quantifying and interpreting the dynamic characteristics of live cells. Here we demonstrate a method that extends the usage of AFM to quantitatively investigate live cell dynamics. Approaches such as singular spectrum analysis (SSA), and fast Fourier transform (FFT) were introduced to analyze a realtime recording of cell stiffness and the unbinding force between the ECM proteindecorated AFM probe and vascular smooth muscle cells (VSMCs). The time series cell adhesion and stiffness data were first filtered with SSA and the principal oscillatory components were isolated from the noise floor with the computed eigenvalue from the laggedcovariance matrix. Following the SSA, the oscillatory parameters were detected by FFT from the noisereduced time series data sets and the sinusoidal oscillatory components were constructed with the parameters obtained by FFT.",Hanna Sanyour; Josh Childs; Gerald A. Meininger; Zhongkui Hong,Electronic devices; Nanoscale biophysics,"Department of Biomedical Engineering, University of South Dakota, Sioux Falls, USA; BioSNTR, Sioux Falls, USA; Department of Biomedical Engineering, University of South Dakota, Sioux Falls, USA; BioSNTR, Sioux Falls, USA; Dalton Cardiovascular Research Center, Department of Medical Pharmacology and Physiology, University of Missouri, Columbia, USA; Department of Biomedical Engineering, University of South Dakota, Sioux Falls, USA; BioSNTR, Sioux Falls, USA"
eeee5fb5aab24e8aabe873dcb25b1a4f,"Assisted reverse electrodialysisprinciples, mechanisms, and potential","Although seawater reverse osmosis (RO) is nearing its thermodynamic minimum energy limit, it is still an energyintensive process, requiring 23 kWhm3 at a recovery of 50%. Predesalination of the seawater by reverse electrodialysis (RED), using an impaired water source, can further decrease this energy demand by producing energy and reducing the seawater concentration. However, RED is hampered by the initial high resistance of the fresh water source, resulting in a high required membrane area (i.e., high investment costs). In this paper, a new process is presented that can overcome this initial resistance and decrease the RED investment cost without the need for additional infrastructure: assisted RED (ARED). In ARED, a small potential difference is applied in the direction of the natural salinity gradient, increasing the ionic transport rate and rapidly decreasing the initial diluate resistance. This decreasing resistance is shown to outweigh any negative effects caused by, for example, concentration polarization, resulting in a process that is more efficient than theoretically expected. As this effect is mainly important at low diluate concentrations (up to 0.1 M), ARED is proposed as a first step in an economic and energy efficient (A)REDRO hybrid process. Coupling reverse osmosis with assisted reverse electrodialysis can reduce the cost of seawater desalination. While reverse osmosis currently accounts for more than 60% of our worldwide seawater desalination capacity, this crucial process operates at a high energy demand. A reverse electrodialysis (RED) pretreatment of seawater, diluted with a waste water stream, reduces the energy demand by producing energy and by reducing the concentration of the seawater subjected to reverse osmosis. Nonetheless, low transport rates in RED require highmembrane surface areas, making the costs impractical. A team led by Marjolein Vanoppen at Gent University in Belgium design an assisted RED pretreatment process, where a small potential difference is applied in the direction of the salinity gradient, increasing the ionic transport rate and decreasing the required membrane surface area, thus offering a more economically viable alternative.",Marjolein Vanoppen; Ella Criel; Griet Walpot; David A. Vermaas; Arne Verliefde,Environmental sciences; Physics,"Particle and Interfacial Technology Group, Gent University, Ghent, Belgium; Particle and Interfacial Technology Group, Gent University, Ghent, Belgium; Particle and Interfacial Technology Group, Gent University, Ghent, Belgium; Chemical Engineering department, Delft University of Technology, Delft, The Netherlands; AquaBattery B.V., Leiderdorp, The Netherlands; Particle and Interfacial Technology Group, Gent University, Ghent, Belgium"
08558566fe7649be99704c2445bc5aeb,Impact of tensile strain on low Sn content GeSn lasing,"In recent years much effort has been made to increase the Sn content in GeSn alloys in order to increase direct bandgap charge carrier recombination and, therefore, to reach room temperature lasing. While being successful for the former, the increase of Sn content is detrimental, leading to increased defect concentrations and a lower thermal budget regarding processing. In this work we demonstrate strong photoluminescence enhancement in low Sn content Ge0.94Sn0.06 layers by implementing tensile strain. Fitting of the calculated photoluminescence spectra to reproduce our experimental results indicates a strain of ~1.45%, induced via an SiNx stressor layer, which is strong enough to transform the investigated layer into a direct bandgap semiconductor. Moreover, theoretical calculations, using the 8band kp model, show the advantages of using low Sn content tensile strained GeSn layers in respect to gain and lasing temperature. We show that low Sn content GeSn alloys have a strong potential to enable efficient room temperature lasers on electronicphotonic integrated circuits.",Denis Rainko; Zoran Ikonic; Anas Elbaz; Nils von den Driesch; Daniela Stange; Etienne Herth; Philippe Boucaud; Moustafa El Kurdi; Detlev Grutzmacher; Dan Buca,Electronic structure; Photonic devices; Semiconductor lasers; Semiconductors,"Peter Grunberg Institute (PGI 9) and JARAFundamentals of Future Information Technologies, Forschungszentrum Juelich, Juelich, Germany; Pollard Institute, School of Electronic and Electrical Engineering, University of Leeds, Leeds, UK; Center for Nanoscience and Nanotechnologies, C2N UMR 9001 CNRSUniversite ParisSud, Universite ParisSaclay, Orsay, France; Peter Grunberg Institute (PGI 9) and JARAFundamentals of Future Information Technologies, Forschungszentrum Juelich, Juelich, Germany; Peter Grunberg Institute (PGI 9) and JARAFundamentals of Future Information Technologies, Forschungszentrum Juelich, Juelich, Germany; Center for Nanoscience and Nanotechnologies, C2N UMR 9001 CNRSUniversite ParisSud, Universite ParisSaclay, Orsay, France; Center for Nanoscience and Nanotechnologies, C2N UMR 9001 CNRSUniversite ParisSud, Universite ParisSaclay, Orsay, France; Center for Nanoscience and Nanotechnologies, C2N UMR 9001 CNRSUniversite ParisSud, Universite ParisSaclay, Orsay, France; Peter Grunberg Institute (PGI 9) and JARAFundamentals of Future Information Technologies, Forschungszentrum Juelich, Juelich, Germany; Peter Grunberg Institute (PGI 9) and JARAFundamentals of Future Information Technologies, Forschungszentrum Juelich, Juelich, Germany"
3790966fc4a84909ae8a3aea781001ca,Incorporation of iloprost in phospholipaseresistant phospholipid scaffold enhances its barrier protective effects on pulmonary endothelium,"Correction of barrier dysfunction and inflammation in acute lung injury (ALI) represents an important problem. Previous studies demonstrate barrierprotective and antiinflammatory effects of bioactive lipid prostacyclin and its stable analog iloprost (ILO). We generated a phospholipase resistant synthetic phospholipid with iloprost attached at the sn2 position (ILOPC) and investigated its biological effects. In comparison to free ILO, ILOPC caused sustained endothelial cell (EC) barrier enhancement, linked to more prolonged activation of Rap1 and Rac1 GTPases and their cytoskeletal and cell junction effectors: cortactin, PAK1, p120catenin and VEcadherin. ILO and ILOPC equally efficiently suppressed acute, Rho GTPasedependent EC hyperpermeability caused by thrombin. However, ILOPC exhibited more sustained barrierprotective and antiinflammatory effects in the model of chronic EC dysfunction caused by bacterial wall lipopolysacharide (LPS). ILOPC was also more potent inhibitor of NFB signaling and lung vascular leak in the murine model of LPSinduced ALI. Treatment with ILOPC showed more efficient ALI recovery over 3 days after LPS challenge than free ILO. In conclusion, this study describes a novel synthetic phospholipid with barrierenhancing and antiinflammatory properties superior to existing prostacyclin analogs, which may be used as a prototype for future development of more efficient treatment for ALI and other vascular leak syndromes.",Olga Oskolkova; Nicolene Sarich; Yufeng Tian; Grzegorz Gawlak; Fanyong Meng; Valery N. Bochkov; Evgeny Berdyshev; Anna A. Birukova; Konstantin G. Birukov,Cell signalling; Molecular biology,"Section of Pulmonary and Critical Care Medicine, Department of Medicine, University of Chicago, Chicago, USA; Institute of Pharmaceutical Sciences, Department of Pharmaceutical Chemistry, University of Graz, Graz, Austria; Section of Pulmonary and Critical Care Medicine, Department of Medicine, University of Chicago, Chicago, USA; Section of Pulmonary and Critical Care Medicine, Department of Medicine, University of Chicago, Chicago, USA; Section of Pulmonary and Critical Care Medicine, Department of Medicine, University of Chicago, Chicago, USA; Section of Pulmonary and Critical Care Medicine, Department of Medicine, University of Chicago, Chicago, USA; Institute of Pharmaceutical Sciences, Department of Pharmaceutical Chemistry, University of Graz, Graz, Austria; National Jewish Health, Denver, USA; Department of Medicine, University of Maryland School of Medicine, Baltimore, USA; Department of Anesthesiology, University of Maryland School of Medicine, Baltimore, USA"
5ac0e10078bb43b6b9d16c5f95fb4291,Multiplexed profiling of RNA and protein expression signatures in individual cells using flow or mass cytometry,"Advances in singlecell analysis technologies are providing novel insights into phenotypic and functional heterogeneity within seemingly identical cell populations. RNA within single cells can be analyzed using unbiased sequencing protocols or through more targeted approaches using in situ hybridization (ISH). The proximity ligation assay for RNA (PLAYR) approach is a sensitive and highthroughput technique that relies on in situ and proximal ligation to measure at least 27 specific RNAs by flow or mass cytometry. We provide detailed instructions for combining this technique with antibodybased detection of surfaceinternal protein, allowing simultaneous highly multiplexed profiling of RNA and protein expression at singlecell resolution. PLAYR overcomes limitations on multiplexing seen in previous branching DNAbased RNA detection techniques by integration of a transcriptspecific oligonucleotide sequence within a rollingcircle amplification (RCA). This unique transcriptassociated sequence can then be detected by heavy metal (for mass cytometry) or fluorophore (for flow cytometry)conjugated complementary detection oligonucleotides. Included in this protocol is methodology to label oligonucleotides with lanthanide metals for use in mass cytometry. When analyzed by mass cytometry, up to 40 variables (with scope for future expansion) can be measured simultaneously. We used the described protocol to demonstrate intraclonal heterogeneity within primary cells from chronic lymphocytic leukemia patients, but it can be adapted to other primary cells or cell lines in suspension. This robust, reliable and reproducible protocol can be completed in 23 d and can be paused at several stages for convenience. This protocol describes the proximity ligation assay for RNA (PLAYR). PLAYR can be used to simultaneously detect at least 27 RNA transcripts using flow or mass cytometry and can be combined with protein detection via conventional antibody staining.",Andrew D. Duckworth; Pier Federico Gherardini; Martina Sykorova; Faten Yasin; Garry P. Nolan; Joseph R. Slupsky; Nagesh Kalakonda,Flow cytometry; Gene expression; Oligonucleotide probes; RNA probes,"Department of Molecular and Clinical Cancer Medicine, Institute of Translational Medicine, University of Liverpool, Liverpool, UK; Baxter Laboratory in Stem Cell Biology, Department of Microbiology and Immunology, Stanford University, Stanford, USA; Parker Institute for Cancer Immunotherapy, San Francisco, USA; Department of Molecular and Clinical Cancer Medicine, Institute of Translational Medicine, University of Liverpool, Liverpool, UK; Department of Molecular and Clinical Cancer Medicine, Institute of Translational Medicine, University of Liverpool, Liverpool, UK; Baxter Laboratory in Stem Cell Biology, Department of Microbiology and Immunology, Stanford University, Stanford, USA; Department of Molecular and Clinical Cancer Medicine, Institute of Translational Medicine, University of Liverpool, Liverpool, UK; Department of Molecular and Clinical Cancer Medicine, Institute of Translational Medicine, University of Liverpool, Liverpool, UK"
